z6-15957,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 1434,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/2/2023 11:30,135.1,349,0.83,2.19,20.5,-2.0,2.6,20.2,0.951,87.64,15,0,458,84,7667,87.62,20.7
11/2/2023 11:45,100.3,333,0.82,2.89,20.3,-1.9,2.6,20.0,0.965,87.63,15,8,457,83,7665,87.60,20.5
11/2/2023 12:00,153.8,345,0.63,1.35,20.7,-2.0,2.6,20.5,0.959,87.61,15,0,457,84,7666,87.58,20.6
11/2/2023 12:15,92.3,349,0.55,1.66,20.7,-1.9,2.6,20.4,0.955,87.59,15,0,457,83,7662,87.57,20.7
11/2/2023 12:30,64.8,353,0.76,1.68,20.4,-2.0,2.6,20.1,0.967,87.57,15,5,477,83,7662,87.54,20.6
11/2/2023 12:45,121.0,355,0.89,1.87,20.3,-1.9,2.6,20.0,0.979,87.54,15,14,459,83,7662,87.51,20.5
11/2/2023 13:00,135.5,353,0.89,2.15,20.6,-2.0,2.6,20.3,0.977,87.52,15,0,458,83,7665,87.49,20.6
11/2/2023 13:15,121.8,2,0.90,2.41,20.9,-2.0,2.6,20.6,0.964,87.49,15,0,457,83,7663,87.47,20.9
11/2/2023 13:30,89.7,343,0.46,1.10,21.1,-2.0,2.6,20.9,0.953,87.46,15,0,457,83,7664,87.44,20.9
11/2/2023 13:45,127.3,0,0.55,1.99,21.3,-2.0,2.6,21.0,0.940,87.44,15,0,456,83,7665,87.42,21.0
