Tree,MC,Timestamp,Port1_Solar,Port2_Solar,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_Temp,Port5_RH,Port5_Atmos_pressure,Port6_LW_minutes,Port6_LW_minutes_H,Port6_LWS_Count,Port7_Drop1,Port7_Drop2,Port8_Drop3,Port8_Drop4
ET6,MC1,2023-04-19T09:15:00Z,448.6,84.6,20,0.826,87.7,0,0,447,19.6,0.838,87.69,4,0,449,93,7748,87.59,19.4
ET6,MC1,2023-04-19T09:30:00Z,630.8,224.5,19.9,0.799,87.71,0,0,447,19.8,0.804,87.69,0,0,449,94,7754,87.58,19.7
ET6,MC1,2023-04-19T09:45:00Z,516.9,161.9,20.3,0.785,87.7,0,0,446,20.1,0.792,87.69,0,0,449,95,7760,87.58,20
ET6,MC1,2023-04-19T10:00:00Z,454.8,199.4,20.2,0.781,87.71,0,0,447,20.3,0.783,87.69,0,0,449,94,7757,87.58,20.1
ET6,MC1,2023-04-19T10:15:00Z,360.4,176.1,20.5,0.788,87.71,0,0,447,20.5,0.788,87.7,0,0,449,94,7751,87.59,20.3
ET6,MC1,2023-04-19T10:30:00Z,345.7,158.8,20.5,0.797,87.71,0,0,447,20.5,0.795,87.7,0,0,449,93,7748,87.59,20.6
ET6,MC1,2023-04-19T10:45:00Z,173.8,147.8,20.7,0.789,87.7,0,0,448,20.7,0.788,87.69,0,0,448,93,7748,87.57,20.7
ET6,MC1,2023-04-19T11:00:00Z,111.1,246.5,20.7,0.806,87.68,0,0,449,20.9,0.797,87.66,0,0,449,93,7748,87.55,20.7
ET6,MC1,2023-04-19T11:15:00Z,150.9,174.5,21.2,0.804,87.65,0,0,449,20.9,0.81,87.64,0,0,449,94,7751,87.53,21
ET6,MC1,2023-04-19T11:30:00Z,193.7,111.9,21.2,0.808,87.63,0,0,449,21.2,0.804,87.62,0,0,449,94,7751,87.51,21.2
ET6,MC1,2023-04-19T11:45:00Z,265.5,260.9,21.1,0.807,87.63,0,0,449,20.7,0.816,87.62,0,0,449,93,7748,87.5,21.2
ET6,MC1,2023-04-19T12:00:00Z,737.4,155.6,21.6,0.791,87.61,0,0,448,21.3,0.802,87.6,0,0,449,94,7752,87.48,21.4
ET6,MC1,2023-04-19T12:15:00Z,182.6,85.5,21.4,0.795,87.6,0,0,449,21.3,0.797,87.59,0,0,449,94,7751,87.47,21.5
ET6,MC1,2023-04-19T12:30:00Z,206.7,73.4,21.3,0.809,87.58,0,0,449,21.1,0.812,87.57,0,0,449,94,7753,87.46,21.6
