Tree,MC,Timestamp,Port1_LW_minutes,Port1_LW_minutes_H,Port1_LWS_Count,Port2_Solar,Port2_Precipitation,Port2_Lightning_count,Port2_Lightning_distance,Port2_Wind_direction,Port2_Wind_speed,Port2_Gust_speed,Port2_Temp,Port2_RH,Port2_Atmos_pressure,Port2_ATM22_Xaxis,Port2_ATM22_Yaxis,Port2_Precip_max,Port2_ATM41_SensorTemp,Port7_Drop1,Port7_Drop2,Port8_Drop3,Port8_Drop4
FBP2,ATM41,2023-04-13T11:30:00Z,15,0,458,366.1,0,0,0,41,4.68,10.84,18.8,0.997,85.92,1.8,-0.2,0,21.1,100,8283,85.79,22.1
FBP2,ATM41,2023-04-13T11:45:00Z,15,9,451,647.1,0,0,0,44,5,9.99,18.7,0.992,85.9,2.1,-0.2,0,20.2,100,8292,85.78,21.2
FBP2,ATM41,2023-04-13T12:00:00Z,15,0,450,740.7,0,0,0,27,5.59,9.9,19.1,0.994,85.87,1.9,-0.2,0,20.8,100,8298,85.74,21.6
FBP2,ATM41,2023-04-13T12:15:00Z,4,0,450,961.4,0,0,0,28,5.06,11.02,19.9,0.978,85.84,2,-0.3,0,21.8,100,8305,85.73,22.3
FBP2,ATM41,2023-04-13T12:30:00Z,7,0,450,682.7,0,0,0,39,5.01,12.04,19.7,0.995,85.82,1.9,0.2,0,22.2,100,8308,85.71,22.7
FBP2,ATM41,2023-04-13T12:45:00Z,12,0,450,644.6,0,0,0,38,4.64,10.2,19.5,0.995,85.81,2,-0.1,0,21.8,100,8309,85.68,22.5
FBP2,ATM41,2023-04-13T13:00:00Z,3,0,449,816.2,0,0,0,31,4.96,9.03,20.3,0.962,85.78,2,0.1,0,22.1,100,8309,85.66,22.8
FBP2,ATM41,2023-04-13T13:15:00Z,7,0,450,614.2,0,0,0,41,5.24,10.04,20,0.984,85.75,1.9,-0.2,0,22.3,100,8306,85.63,22.9
FBP2,ATM41,2023-04-13T13:30:00Z,15,0,450,417.6,0,0,0,34,5.41,11.99,19.4,0.994,85.75,2,-0.1,0,21.7,100,8311,85.63,22.5
FBP2,ATM41,2023-04-13T13:45:00Z,15,0,451,523.3,0,0,0,39,4.45,8.17,19.7,0.987,85.74,2,-0.2,0,21.8,100,8311,85.61,22.6
FBP2,ATM41,2023-04-13T14:00:00Z,15,0,451,478.7,0,0,0,28,4.57,10.35,19.5,1.004,85.72,2.1,-0.1,0,21.7,100,8309,85.6,22.4
FBP2,ATM41,2023-04-13T14:15:00Z,15,0,451,490.9,0,0,0,37,4.61,9.8,19.5,0.997,85.72,2.2,-0.2,0,21.6,100,8308,85.6,22.3
FBP2,ATM41,2023-04-13T14:30:00Z,15,0,450,585.5,0,0,0,27,4.14,9.67,20.1,0.983,85.7,1.8,-0.2,0,21.9,100,8304,85.58,22.6
FBP2,ATM41,2023-04-13T14:45:00Z,12,0,453,404.9,0,0,0,33,3.99,8.31,20.2,0.988,85.69,2.1,-0.1,0,22.5,100,8303,85.57,23.1
FBP2,ATM41,2023-04-13T15:00:00Z,15,0,453,220.3,0,0,0,25,4.04,9.1,19.5,1.007,85.69,2,-0.2,0,21.6,100,8295,85.56,22.2
FBP2,ATM41,2023-04-13T15:15:00Z,15,0,453,196.9,0,0,0,27,4.6,9.17,19,1.003,85.68,1.8,-0.2,0,20.6,100,8292,85.56,21.4
FBP2,ATM41,2023-04-13T15:30:00Z,15,0,451,308.2,0,0,0,26,3.92,10.77,19.4,0.996,85.67,2.1,-0.1,0,20.4,100,8286,85.55,21.2
FBP2,ATM41,2023-04-13T15:45:00Z,15,5,517,326.5,0,0,0,46,4.53,8.9,19.8,0.992,85.65,2.2,-0.2,0,21.2,100,8285,85.52,22
FBP2,ATM41,2023-04-13T16:00:00Z,15,7,453,164.8,0,0,0,46,4.62,9.13,19,0.998,85.65,2,-0.3,0,20.6,100,8280,85.53,21.1
FBP2,ATM41,2023-04-13T16:15:00Z,15,0,457,194.1,0,0,0,38,3.7,8.1,19.2,0.998,85.66,1.8,-0.2,0,20.2,100,8277,85.54,20.8
FBP2,ATM41,2023-04-13T16:30:00Z,15,4,682,53.4,0,0,0,42,4.21,8.21,18.7,1.002,85.68,2.1,-0.1,0,19.8,100,8270,85.55,20.3
FBP2,ATM41,2023-04-13T16:45:00Z,15,15,498,73.1,0.136,0,0,44,4.37,8.35,18.4,1.001,85.7,1.9,-0.1,2,19,100,8267,85.57,19.6
FBP2,ATM41,2023-04-13T17:00:00Z,15,15,480,101.2,0,0,0,51,4.66,8.52,18.4,1,85.69,1.8,0,0,18.7,100,8261,85.56,19.3
FBP2,ATM41,2023-04-13T17:15:00Z,15,15,463,45,0,0,0,35,3.94,8.34,18.6,0.999,85.69,1.9,0.1,0,18.7,100,8259,85.57,19.2
FBP2,ATM41,2023-04-13T17:30:00Z,15,11,459,22.4,0,0,0,34,3.68,8.56,18.3,1.001,85.72,1.9,-0.2,0,18.5,100,8252,85.59,18.9
