Tree,MC,Timestamp,Port1_Solar,Port1_Precipitation,Port1_Lightning_count,Port1_Lightning_distance,Port1_Wind_direction,Port1_Wind_speed,Port1_Gust_speed,Port1_Temp,Port1_RH,Port1_Atmos_pressure,Port1_ATM22_Xaxis,Port1_ATM22_Yaxis,Port1_Precip_max,Port1_ATM41_SensorTemp,Port2_LW_minutes,Port2_LW_minutes_H,Port2_LWS_Count,Port6_ECRN-100_Precipitation,Port6_ECRN-100_Precip_max,Port7_Drop1,Port7_Drop2,Port8_Drop3,Port8_Drop4
TVP,ATM41,2023-06-20T11:45:00Z,985.5,0,0,0,346,4.39,8.92,23.1,0.829,85.16,1.7,-1.3,0,24.8,0,0,445,0,0,100,8404,85.05,25.9
TVP,ATM41,2023-06-20T12:00:00Z,959.7,0,0,0,341,3.88,7.5,23.2,0.831,85.16,1.4,-1.4,0,25,0,0,445,0,0,100,8412,85.05,26.3
TVP,ATM41,2023-06-20T12:15:00Z,866,0,0,0,349,3.58,7.25,23.2,0.834,85.16,1.6,-1.4,0,25.1,0,0,444,0,0,100,8418,85.04,26.5
TVP,ATM41,2023-06-20T12:30:00Z,919,0,0,0,343,3.6,9.55,23.3,0.83,85.14,1.6,-1.4,0,25.2,0,0,445,0,0,100,8431,85.02,26.7
TVP,ATM41,2023-06-20T12:45:00Z,899.4,0,0,0,341,4.06,10.17,23.3,0.829,85.12,1.6,-1.5,0,25.3,0,0,445,0,0,100,8437,85.01,26.9
TVP,ATM41,2023-06-20T13:00:00Z,893.9,0,0,0,340,3.52,6.75,23.3,0.829,85.13,1.5,-1.5,0,25.3,0,0,445,0,0,100,8443,85.01,27.1
TVP,ATM41,2023-06-20T13:15:00Z,783.9,0,0,0,337,2.43,7.39,23.3,0.823,85.14,1.6,-1.4,0,25.5,0,0,445,0,0,100,8444,85.02,27.5
TVP,ATM41,2023-06-20T13:30:00Z,486.2,0,0,0,346,2.39,7.39,23.1,0.84,85.14,1.6,-1.4,0,25.5,0,0,444,0,0,100,8434,85.02,27.6
TVP,ATM41,2023-06-20T13:45:00Z,623.6,0,0,0,344,2.63,7.46,23,0.841,85.13,1.5,-1.3,0,25,0,0,444,0,0,100,8435,85,27.1
TVP,ATM41,2023-06-20T14:00:00Z,726.9,0,0,0,351,2.09,5.34,23.5,0.83,85.1,1.7,-1.5,0,25.4,0,0,443,0,0,100,8446,84.98,27.7
