z6-15947,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 17570,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/27/2024 11:45,141.9,76.7,23.6,0.836,86.11,14,0,450,23.4,0.856,86.21,15,0,457,87,7692,86.06,24.2
5/27/2024 12:00,203.2,83.7,24.4,0.837,86.10,15,0,450,24.0,0.858,86.20,15,0,456,87,7694,86.06,24.3
5/27/2024 12:15,106.0,93.9,24.8,0.815,86.10,15,0,450,24.5,0.837,86.20,15,0,456,87,7695,86.05,24.6
5/27/2024 12:30,82.2,153.4,24.9,0.816,86.08,15,0,450,24.7,0.833,86.17,15,0,456,87,7696,86.03,24.8
5/27/2024 12:45,78.0,92.3,24.8,0.808,86.04,15,0,450,24.7,0.819,86.14,15,0,456,87,7695,86.00,24.9
5/27/2024 13:00,81.7,82.8,25.2,0.797,86.03,15,0,450,25.1,0.807,86.13,15,0,455,87,7696,85.98,25.0
5/27/2024 13:15,545.7,89.7,25.6,0.773,86.02,3,0,449,25.5,0.780,86.12,15,0,455,87,7697,85.97,25.2
5/27/2024 13:30,274.3,138.4,25.8,0.775,86.02,1,0,450,25.5,0.786,86.12,15,0,454,87,7697,85.97,25.5
5/27/2024 13:45,122.5,148.7,25.8,0.783,86.02,5,0,450,25.5,0.798,86.12,15,0,455,87,7698,85.97,25.6
5/27/2024 14:00,105.3,123.8,25.9,0.774,86.01,6,0,450,25.9,0.775,86.11,15,0,454,87,7696,85.96,25.8
5/27/2024 14:15,83.7,89.9,25.5,0.787,86.02,14,0,450,25.8,0.784,86.12,15,0,453,88,7700,85.97,25.8
5/27/2024 14:30,85.5,129.1,25.3,0.783,86.02,12,0,450,25.6,0.780,86.12,15,0,454,87,7699,85.97,25.8
5/27/2024 14:45,85.3,76.2,25.5,0.778,86.00,8,0,450,25.7,0.780,86.10,15,0,454,87,7698,85.96,25.9
5/27/2024 15:00,106.6,69.4,25.4,0.777,85.99,9,0,450,25.5,0.777,86.09,15,0,455,87,7699,85.94,26.0
5/27/2024 15:15,70.3,50.9,25.2,0.798,85.99,14,0,451,24.9,0.812,86.08,15,0,456,87,7698,85.93,25.9
5/27/2024 15:30,47.6,30.8,23.8,0.837,86.00,15,0,452,23.6,0.855,86.09,15,0,457,87,7698,85.94,25.5
5/27/2024 15:45,36.3,26.2,23.1,0.864,86.00,15,0,452,23.2,0.875,86.09,15,0,457,87,7698,85.94,24.9
5/27/2024 16:00,61.7,38.8,23.0,0.867,85.99,15,0,452,22.9,0.884,86.08,15,0,458,88,7700,85.93,24.5
5/27/2024 16:15,43.0,30.4,22.8,0.879,86.00,15,0,453,22.6,0.901,86.10,15,0,458,87,7698,85.95,24.2
5/27/2024 16:30,56.2,36.3,22.7,0.896,86.00,15,0,453,22.6,0.913,86.09,15,0,459,87,7698,85.95,23.9
5/27/2024 16:45,28.4,20.1,22.7,0.895,86.00,15,0,454,22.6,0.912,86.09,15,0,460,87,7699,85.94,23.7
5/27/2024 17:00,11.7,7.0,21.9,0.913,86.00,15,0,455,21.8,0.929,86.10,15,15,462,87,7697,85.95,23.3
5/27/2024 17:15,8.8,4.8,21.4,0.935,86.02,15,0,456,21.2,0.951,86.12,15,15,463,87,7695,85.97,22.9
5/27/2024 17:30,8.2,4.4,21.1,0.946,86.02,15,0,457,21.0,0.958,86.12,15,15,464,88,7700,85.97,22.5
5/27/2024 17:45,0.7,0.0,20.9,0.955,86.04,15,0,458,20.7,0.965,86.13,15,15,465,87,7697,85.98,22.2
5/27/2024 18:00,0.0,0.0,20.7,0.962,86.04,15,0,459,20.6,0.970,86.13,15,15,466,87,7695,85.99,21.9
5/27/2024 18:15,0.0,0.0,20.5,0.968,86.05,15,0,459,20.4,0.975,86.14,15,15,467,87,7696,86.00,21.6
5/27/2024 18:30,0.0,0.0,20.3,0.974,86.05,15,3,460,20.2,0.982,86.14,15,15,470,87,7696,86.00,21.4
5/27/2024 18:45,0.0,0.0,20.1,0.977,86.07,15,14,460,20.0,0.985,86.17,15,15,468,87,7697,86.02,21.2
5/27/2024 19:00,0.0,0.0,19.9,0.978,86.10,15,15,460,19.8,0.985,86.19,15,15,468,87,7697,86.05,21.0
