Tree,MC,Timestamp,Port2_RH,Port2_Temp,Port2_VPD,Port2_Atmos_pressure,Port5_Atmos_pressure,Port5_Temp,Port5_VPD,Port5_RH,Port1_Solar,Port3_LWS_Count,Port3_LW_minutes,Port3_LW_minutes_H,Port4_Solar,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
TV1,MC2,2023-05-31T18:45:00Z,1,17.1,0,85.55,85.58,17.2,0.08,0.959,0,454,15,0,0,0,15,454
TV1,MC2,2023-05-31T19:00:00Z,1,17.1,0,85.56,85.6,17.1,0.08,0.96,0,454,15,0,0,0,15,454
TV1,MC2,2023-05-31T19:15:00Z,1,17,0,85.59,85.63,17.1,0.08,0.96,0,454,15,0,0,0,15,454
TV1,MC2,2023-05-31T19:30:00Z,1,17.1,0,85.61,85.65,17.2,0.08,0.961,0,454,15,0,0,0,15,454
TV1,MC2,2023-05-31T19:45:00Z,1,17.1,0,85.62,85.66,17.1,0.08,0.957,0,454,15,0,0,0,15,454
TV1,MC2,2023-05-31T20:00:00Z,0.997,17.2,0.01,85.64,85.67,17.2,0.11,0.945,0,454,15,0,0,0,15,453
TV1,MC2,2023-05-31T20:15:00Z,0.979,17.2,0.04,85.65,85.69,17.2,0.14,0.928,0,453,15,0,0,0,15,453
TV1,MC2,2023-05-31T20:30:00Z,0.972,17.4,0.06,85.66,85.7,17.4,0.16,0.92,0,453,15,0,0,0,15,453
TV1,MC2,2023-05-31T20:45:00Z,0.973,17.5,0.05,85.67,85.71,17.5,0.15,0.922,0,593,15,4,0,3,15,601
TV1,MC2,2023-05-31T21:00:00Z,0.992,17.3,0.02,85.67,85.71,17.4,0.13,0.935,0,572,15,15,0,15,15,577
TV1,MC2,2023-05-31T21:15:00Z,1,17.2,0,85.68,85.72,17.2,0.1,0.951,0,558,15,15,0,15,15,559
TV1,MC2,2023-05-31T21:30:00Z,0.999,17.2,0,85.69,85.72,17.3,0.08,0.958,0,551,15,15,0,15,15,548
TV1,MC2,2023-05-31T21:45:00Z,1.001,17.3,0,85.69,85.73,17.3,0.07,0.963,0,627,15,15,0,15,15,676
TV1,MC2,2023-05-31T22:00:00Z,1,17.3,0,85.69,85.73,17.3,0.07,0.965,0,618,15,15,0,15,15,681
TV1,MC2,2023-05-31T22:15:00Z,1.001,17.2,0,85.69,85.73,17.3,0.07,0.967,0,586,15,15,0,15,15,623
TV1,MC2,2023-05-31T22:30:00Z,1,17.4,0,85.7,85.74,17.4,0.06,0.972,0,816,15,15,0,15,15,678
TV1,MC2,2023-05-31T22:45:00Z,1,17.3,0,85.7,85.73,17.4,0.06,0.972,0,841,15,15,0,15,15,756
TV1,MC2,2023-05-31T23:00:00Z,1.001,17.2,0,85.68,85.72,17.4,0.05,0.975,0,829,15,15,0,15,15,691
TV1,MC2,2023-05-31T23:15:00Z,1.001,17.4,0,85.68,85.72,17.5,0.04,0.98,0,960,15,15,0,15,15,743
TV1,MC2,2023-05-31T23:30:00Z,1,17.5,0,85.67,85.71,17.6,0.04,0.982,0,708,15,15,0,15,15,699
TV1,MC2,2023-05-31T23:45:00Z,0.999,17.5,0,85.66,85.7,17.6,0.03,0.983,0,671,15,15,0,15,15,694
TV1,MC2,2023-06-01T00:00:00Z,0.999,17.5,0,85.66,85.7,17.6,0.03,0.985,0,668,15,15,0,15,15,656
TV1,MC2,2023-06-01T00:15:00Z,1,17.5,0,85.64,85.68,17.6,0.03,0.987,0,667,15,15,0,15,15,676
TV1,MC2,2023-06-01T00:30:00Z,1,17.5,0,85.62,85.66,17.6,0.02,0.988,0,640,15,15,0,15,15,634
TV1,MC2,2023-06-01T00:45:00Z,0.999,17.5,0,85.6,85.63,17.5,0.02,0.991,0,650,15,15,0,15,15,634
TV1,MC2,2023-06-01T01:00:00Z,1,17.5,0,85.59,85.63,17.5,0.02,0.99,0,692,15,15,0,15,15,630
TV1,MC2,2023-06-01T01:15:00Z,1,17.4,0,85.56,85.6,17.4,0.02,0.992,0,623,15,15,0,15,15,627
TV1,MC2,2023-06-01T01:30:00Z,1,17.3,0,85.54,85.57,17.4,0.01,0.993,0,618,15,15,0,15,15,617
TV1,MC2,2023-06-01T01:45:00Z,1,17.2,0,85.51,85.54,17.2,0.01,0.994,0,627,15,15,0,15,15,610
TV1,MC2,2023-06-01T02:00:00Z,0.999,17.1,0,85.5,85.53,17.2,0.01,0.994,0,631,15,15,0,15,15,602
TV1,MC2,2023-06-01T02:15:00Z,1.002,17,0,85.48,85.51,17.1,0.01,0.995,0,649,15,15,0,15,15,626
TV1,MC2,2023-06-01T02:30:00Z,1,16.9,0,85.47,85.51,17,0.01,0.996,0,691,15,15,0,15,15,670
TV1,MC2,2023-06-01T02:45:00Z,1.001,16.8,0,85.47,85.5,16.9,0.01,0.997,0,650,15,15,0,15,15,641
TV1,MC2,2023-06-01T03:00:00Z,0.999,16.9,0,85.45,85.49,16.9,0.01,0.997,0,632,15,15,0,15,15,631
TV1,MC2,2023-06-01T03:15:00Z,1,16.7,0,85.44,85.47,16.8,0,0.998,0,615,15,15,0,15,15,630
