Tree,MC,Timestamp,Port2_RH,Port2_Temp,Port2_VPD,Port2_Atmos_pressure,Port3_LWS_Count,Port3_LW_minutes,Port3_LW_minutes_H,Port5_Atmos_pressure,Port5_Temp,Port5_VPD,Port5_RH,Port1_Solar,Port4_Solar,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
TV2,MC3,2023-05-31T18:45:00Z,0.999,17.1,0,85.51,452,15,0,85.51,17,0.01,0.993,0,0,0,15,455
TV2,MC3,2023-05-31T19:00:00Z,0.999,17.1,0,85.54,452,15,0,85.53,17,0.01,0.996,0,0,0,15,455
TV2,MC3,2023-05-31T19:15:00Z,1.001,17,0,85.56,452,15,0,85.56,16.9,0.01,0.997,0,0,0,15,455
TV2,MC3,2023-05-31T19:30:00Z,0.999,17.1,0,85.58,452,15,0,85.58,17,0,0.997,0,0,0,15,455
TV2,MC3,2023-05-31T19:45:00Z,0.999,17,0,85.59,452,15,0,85.59,16.9,0,0.998,0,0,0,15,455
TV2,MC3,2023-05-31T20:00:00Z,0.998,16.9,0,85.61,452,15,0,85.61,16.8,0.01,0.993,0,0,0,15,455
TV2,MC3,2023-05-31T20:15:00Z,0.987,17,0.03,85.62,452,15,0,85.62,16.8,0.03,0.982,0,0,0,15,455
TV2,MC3,2023-05-31T20:30:00Z,0.976,17.1,0.05,85.63,452,15,0,85.63,17,0.06,0.968,0,0,0,15,455
TV2,MC3,2023-05-31T20:45:00Z,0.973,17.2,0.05,85.64,484,15,2,85.64,17.2,0.07,0.965,0,0,2,15,485
TV2,MC3,2023-05-31T21:00:00Z,0.981,17.3,0.04,85.65,520,15,15,85.65,17.2,0.06,0.971,0,0,15,15,476
TV2,MC3,2023-05-31T21:15:00Z,0.99,17.2,0.02,85.65,512,15,15,85.65,17.1,0.03,0.984,0,0,15,15,469
TV2,MC3,2023-05-31T21:30:00Z,0.997,17.2,0.01,85.66,506,15,15,85.66,17.1,0.02,0.991,0,0,15,15,464
TV2,MC3,2023-05-31T21:45:00Z,1.001,17.2,0,85.67,566,15,15,85.66,17.2,0.01,0.994,0,0,15,15,510
TV2,MC3,2023-05-31T22:00:00Z,1,17.2,0,85.67,611,15,15,85.66,17.2,0,0.998,0,0,15,15,549
TV2,MC3,2023-05-31T22:15:00Z,1,17.3,0,85.67,557,15,15,85.66,17.2,0,1,0,0,15,15,574
TV2,MC3,2023-05-31T22:30:00Z,0.999,17.4,0,85.67,687,15,15,85.67,17.3,0,1,0,0,15,15,714
TV2,MC3,2023-05-31T22:45:00Z,1,17.4,0,85.67,668,15,15,85.67,17.3,0,1,0,0,15,15,690
TV2,MC3,2023-05-31T23:00:00Z,1,17.3,0,85.66,636,15,15,85.65,17.3,0,1,0,0,15,15,753
TV2,MC3,2023-05-31T23:15:00Z,0.999,17.4,0,85.65,697,15,15,85.65,17.4,0,0.999,0,0,15,15,768
TV2,MC3,2023-05-31T23:30:00Z,1,17.5,0,85.64,695,15,15,85.64,17.5,0,1,0,0,15,15,754
TV2,MC3,2023-05-31T23:45:00Z,1,17.6,0,85.63,606,15,15,85.63,17.5,0,1,0,0,15,15,699
TV2,MC3,2023-06-01T00:00:00Z,1,17.6,0,85.63,613,15,15,85.63,17.5,0,0.999,0,0,15,15,652
TV2,MC3,2023-06-01T00:15:00Z,0.999,17.6,0,85.61,606,15,15,85.61,17.5,0,1,0,0,15,15,633
TV2,MC3,2023-06-01T00:30:00Z,1,17.6,0,85.59,579,15,15,85.59,17.5,0,1,0,0,15,15,621
TV2,MC3,2023-06-01T00:45:00Z,1,17.5,0,85.57,608,15,15,85.57,17.4,0,1,0,0,15,15,618
TV2,MC3,2023-06-01T01:00:00Z,1.001,17.5,0,85.56,592,15,15,85.56,17.4,0,0.999,0,0,15,15,599
TV2,MC3,2023-06-01T01:15:00Z,1,17.4,0,85.53,601,15,15,85.53,17.3,0,1,0,0,15,15,601
TV2,MC3,2023-06-01T01:30:00Z,1,17.4,0,85.51,569,15,15,85.51,17.3,0,1,0,0,15,15,580
TV2,MC3,2023-06-01T01:45:00Z,1.001,17.3,0,85.48,609,15,15,85.48,17.2,0,1,0,0,15,15,566
TV2,MC3,2023-06-01T02:00:00Z,1,17.2,0,85.47,571,15,15,85.47,17,0,1,0,0,15,15,565
TV2,MC3,2023-06-01T02:15:00Z,1,17.2,0,85.45,589,15,15,85.45,17,0,1,0,0,15,15,582
TV2,MC3,2023-06-01T02:30:00Z,1,17,0,85.44,592,15,15,85.44,16.9,0,1,0,0,15,15,600
TV2,MC3,2023-06-01T02:45:00Z,1,16.9,0,85.44,585,15,15,85.44,16.8,0,1,0,0,15,15,585
TV2,MC3,2023-06-01T03:00:00Z,1,16.9,0,85.42,578,15,15,85.42,16.8,0,1.001,0,0,15,15,568
TV2,MC3,2023-06-01T03:15:00Z,0.999,16.8,0,85.41,590,15,15,85.41,16.7,0,1,0,0,15,15,567
TV2,MC3,2023-06-01T03:30:00Z,0.999,16.8,0,85.41,560,15,15,85.41,16.7,0,1.001,0,0,15,15,563
TV2,MC3,2023-06-01T03:45:00Z,1,16.8,0,85.42,589,15,15,85.41,16.7,0,1,0,0,15,15,558
TV2,MC3,2023-06-01T04:00:00Z,1,16.9,0,85.42,590,15,15,85.42,16.8,0,1,0,0,15,15,557
TV2,MC3,2023-06-01T04:15:00Z,1,16.9,0,85.43,577,15,15,85.42,16.8,0,1.001,0,0,15,15,553
TV2,MC3,2023-06-01T04:30:00Z,1.001,17,0,85.43,585,15,15,85.43,16.9,0,0.999,0,0,15,15,557
TV2,MC3,2023-06-01T04:45:00Z,1,16.9,0,85.43,554,15,15,85.43,16.8,0,1,0,0,15,15,553
TV2,MC3,2023-06-01T05:00:00Z,0.999,16.9,0,85.44,554,15,15,85.44,16.7,0,1.001,0,0,15,15,533
TV2,MC3,2023-06-01T05:15:00Z,0.999,17,0,85.46,616,15,15,85.46,16.7,0,1,0,0,15,15,535
TV2,MC3,2023-06-01T05:30:00Z,1,16.8,0,85.48,558,15,15,85.47,16.6,0,1.001,0,0,15,15,536
TV2,MC3,2023-06-01T05:45:00Z,1,16.6,0,85.49,564,15,15,85.49,16.5,0,1,4.8,0,15,15,536
TV2,MC3,2023-06-01T06:00:00Z,1,16.7,0,85.51,577,15,15,85.51,16.5,0,1,12.1,2.7,15,15,536
TV2,MC3,2023-06-01T06:15:00Z,0.999,16.8,0,85.53,560,15,15,85.53,16.6,0,1.001,17.9,7.7,15,15,538
TV2,MC3,2023-06-01T06:30:00Z,0.998,16.9,0,85.55,542,15,15,85.55,16.7,0,1,19.8,8.1,15,15,532
TV2,MC3,2023-06-01T06:45:00Z,0.992,17.1,0.02,85.56,540,15,15,85.56,16.9,0,0.998,26.4,9.9,15,15,527
TV2,MC3,2023-06-01T07:00:00Z,0.99,17.3,0.02,85.58,549,15,15,85.58,17,0.01,0.996,35,13.5,15,15,531
TV2,MC3,2023-06-01T07:15:00Z,0.989,17.5,0.02,85.6,522,15,15,85.59,17.3,0.01,0.996,46,20.5,15,15,534
TV2,MC3,2023-06-01T07:30:00Z,0.982,17.9,0.04,85.61,506,15,15,85.61,17.6,0.01,0.994,67.7,31.3,15,15,526
TV2,MC3,2023-06-01T07:45:00Z,0.973,18.3,0.06,85.63,509,15,15,85.62,17.9,0.02,0.989,62.4,32,15,15,518
TV2,MC3,2023-06-01T08:00:00Z,0.968,18.5,0.07,85.64,504,15,15,85.63,18,0.03,0.985,72.5,38.1,15,15,513
TV2,MC3,2023-06-01T08:15:00Z,0.965,18.6,0.07,85.65,493,15,15,85.64,18.3,0.05,0.978,82,43.9,15,15,504
TV2,MC3,2023-06-01T08:30:00Z,0.955,18.6,0.1,85.67,492,15,15,85.66,18.4,0.09,0.958,93.8,44.5,15,15,500
TV2,MC3,2023-06-01T08:45:00Z,0.939,18.5,0.13,85.67,484,15,15,85.67,18.4,0.13,0.939,93,45.8,15,15,494
TV2,MC3,2023-06-01T09:00:00Z,0.936,18.8,0.14,85.68,477,15,15,85.68,18.7,0.15,0.93,116.6,50,15,15,475
TV2,MC3,2023-06-01T09:15:00Z,0.931,19.2,0.15,85.68,464,15,15,85.68,19,0.16,0.929,170.7,67.7,7,15,455
TV2,MC3,2023-06-01T09:30:00Z,0.921,19.4,0.18,85.67,452,15,3,85.67,19.2,0.18,0.919,172.9,70.9,0,15,454
TV2,MC3,2023-06-01T09:45:00Z,0.923,19.6,0.18,85.66,451,15,0,85.66,19.4,0.18,0.92,169.9,72,0,15,454
TV2,MC3,2023-06-01T10:00:00Z,0.905,20,0.22,85.65,451,15,0,85.64,19.7,0.21,0.907,197,129.3,6,15,471
TV2,MC3,2023-06-01T10:15:00Z,0.912,20.2,0.21,85.65,451,15,0,85.65,20,0.21,0.912,231.8,108,15,15,467
TV2,MC3,2023-06-01T10:30:00Z,0.907,20.5,0.22,85.64,451,15,0,85.63,20.2,0.22,0.907,177.1,70.9,15,15,460
TV2,MC3,2023-06-01T10:45:00Z,0.915,20.3,0.2,85.63,468,15,1,85.62,20,0.19,0.918,363.5,92.8,0,15,454
TV2,MC3,2023-06-01T11:00:00Z,0.895,21.5,0.27,85.62,460,15,15,85.61,20.9,0.24,0.903,237.7,89.2,0,15,453
TV2,MC3,2023-06-01T11:15:00Z,0.873,21.4,0.32,85.61,450,10,0,85.6,21,0.29,0.884,249.9,102.7,0,15,453
TV2,MC3,2023-06-01T11:30:00Z,0.884,21.2,0.29,85.6,449,0,0,85.59,21,0.27,0.889,375,80.6,0,15,452
TV2,MC3,2023-06-01T11:45:00Z,0.89,21.2,0.28,85.59,447,0,0,85.58,21,0.26,0.897,530.5,71,0,15,453
TV2,MC3,2023-06-01T12:00:00Z,0.883,22,0.31,85.57,449,0,0,85.56,21.6,0.3,0.885,230.2,69.9,0,15,453
TV2,MC3,2023-06-01T12:15:00Z,0.853,22.1,0.39,85.55,454,4,0,85.54,21.8,0.37,0.858,170.1,60.8,0,15,453
TV2,MC3,2023-06-01T12:30:00Z,0.855,21.8,0.38,85.53,449,13,0,85.52,21.6,0.37,0.858,325,70.5,0,15,452
TV2,MC3,2023-06-01T12:45:00Z,0.858,21.7,0.37,85.52,449,0,0,85.51,21.5,0.35,0.863,168.3,56.6,0,15,452
TV2,MC3,2023-06-01T13:00:00Z,0.885,21.7,0.3,85.5,450,2,0,85.5,21.4,0.29,0.886,189,47.4,0,15,453
TV2,MC3,2023-06-01T13:15:00Z,0.921,21.1,0.2,85.5,449,0,0,85.49,21,0.2,0.921,150.9,47.4,0,15,453
TV2,MC3,2023-06-01T13:30:00Z,0.922,21.4,0.2,85.49,450,0,0,85.49,21.2,0.2,0.922,117.9,42.3,0,15,453
TV2,MC3,2023-06-01T13:45:00Z,0.936,21.1,0.16,85.48,488,15,2,85.47,21,0.17,0.93,75.6,28.7,2,15,474
