Tree,MC,Timestamp,Port6_Temp,Port6_VPD,Port6_RH,Port6_Atmos_pressure,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port2_ATM22_temp,Port2_Wind_direction,Port2_Gust_speed,Port2_ATM22_Xaxis,Port2_ATM22_Yaxis,Port2_Wind_speed,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port5_Solar
TV3,MC1,2023-05-31T18:45:00Z,16.7,0.01,0.994,85.07,0.995,85.05,0.01,16.6,16.7,347,2.48,4.5,4.7,0.8,0,0,15,457,0
TV3,MC1,2023-05-31T19:00:00Z,16.6,0.01,0.996,85.09,0.998,85.07,0,16.6,16.7,351,2.01,4.5,4.7,0.76,0,0,15,457,0
TV3,MC1,2023-05-31T19:15:00Z,16.6,0.01,0.996,85.11,0.998,85.09,0,16.6,16.7,344,2.1,4.5,4.7,0.74,0,0,15,457,0
TV3,MC1,2023-05-31T19:30:00Z,16.7,0.01,0.996,85.13,0.999,85.11,0,16.7,16.7,330,1.8,4.5,4.7,0.68,0,0,15,457,0
TV3,MC1,2023-05-31T19:45:00Z,16.7,0.01,0.996,85.14,0.998,85.12,0,16.7,16.7,319,1.91,4.5,4.7,0.77,0,0,15,456,0
TV3,MC1,2023-05-31T20:00:00Z,16.6,0.02,0.992,85.16,0.99,85.14,0.02,16.6,16.7,326,2.18,4.5,4.7,0.61,0,0,15,455,0
TV3,MC1,2023-05-31T20:15:00Z,16.6,0.04,0.979,85.17,0.974,85.15,0.05,16.7,16.7,313,1.73,4.5,4.7,0.63,0,0,15,454,0
TV3,MC1,2023-05-31T20:30:00Z,16.8,0.06,0.971,85.18,0.964,85.16,0.07,16.8,16.8,320,1.42,4.5,4.7,0.56,0,0,15,454,0
TV3,MC1,2023-05-31T20:45:00Z,16.9,0.06,0.968,85.2,0.964,85.18,0.07,16.9,16.9,337,1.71,4.5,4.7,0.66,0,4,15,548,0
TV3,MC1,2023-05-31T21:00:00Z,16.9,0.05,0.976,85.2,0.976,85.18,0.05,16.8,16.7,322,2.35,4.5,4.6,0.73,0,15,15,537,0
TV3,MC1,2023-05-31T21:15:00Z,16.8,0.03,0.986,85.2,0.988,85.18,0.02,16.8,16.7,333,1.69,4.5,4.6,0.75,0,15,15,530,0
TV3,MC1,2023-05-31T21:30:00Z,16.8,0.02,0.992,85.21,0.994,85.19,0.01,16.8,16.7,342,1.24,4.5,4.5,0.57,0,15,15,522,0
TV3,MC1,2023-05-31T21:45:00Z,16.9,0.01,0.996,85.22,0.998,85.2,0,16.9,16.8,321,1.78,4.5,4.6,0.63,0,15,15,638,0
TV3,MC1,2023-05-31T22:00:00Z,16.9,0,0.998,85.22,1,85.2,0,16.9,16.8,325,1.37,4.5,4.5,0.51,0,15,15,651,0
TV3,MC1,2023-05-31T22:15:00Z,16.9,0,0.999,85.22,1,85.2,0,16.9,16.8,335,1.43,4.4,4.4,0.71,0,15,15,591,0
TV3,MC1,2023-05-31T22:30:00Z,17,0,0.999,85.22,1,85.2,0,17,16.9,253,0.77,4.5,4.4,0.3,0,15,15,706,0
TV3,MC1,2023-05-31T22:45:00Z,17,0,0.999,85.22,1,85.2,0,17,16.9,327,0.81,4.4,4,0.44,0,15,15,791,0
TV3,MC1,2023-05-31T23:00:00Z,17,0,0.999,85.21,1,85.19,0,17,16.9,325,1.09,4.3,4,0.41,0,15,15,902,0
TV3,MC1,2023-05-31T23:15:00Z,17.1,0,1,85.2,1.001,85.18,0,17.1,17.1,344,2.13,4.3,4,0.57,0,15,15,917,0
TV3,MC1,2023-05-31T23:30:00Z,17.2,0,1.001,85.19,1,85.17,0,17.2,17.2,3,2.06,4.3,3.9,0.66,0,15,15,745,0
TV3,MC1,2023-05-31T23:45:00Z,17.2,0,1,85.18,0.999,85.16,0,17.2,17.2,20,2.42,4.4,3.9,0.54,0,15,15,658,0
TV3,MC1,2023-06-01T00:00:00Z,17.2,0,1,85.18,1.001,85.16,0,17.2,17.2,11,1.76,4.3,4,0.63,0,15,15,633,0
TV3,MC1,2023-06-01T00:15:00Z,17.2,0,1,85.16,1,85.14,0,17.3,17.2,25,1.26,4.3,4,0.5,0,15,15,641,0
TV3,MC1,2023-06-01T00:30:00Z,17.3,0,1,85.14,1,85.12,0,17.3,17.2,20,1.83,4.3,4,0.66,0,15,15,623,0
TV3,MC1,2023-06-01T00:45:00Z,17.2,0,1,85.12,0.999,85.1,0,17.3,17.2,72,1.76,4.4,4,0.61,0,15,15,622,0
TV3,MC1,2023-06-01T01:00:00Z,17.2,0,1,85.11,1.001,85.09,0,17.2,17.2,16,2.41,4.3,4,0.69,0,15,15,602,0
TV3,MC1,2023-06-01T01:15:00Z,17.2,0,0.999,85.08,1,85.06,0,17.2,17.1,64,1.48,4.3,4.1,0.66,0,15,15,596,0
TV3,MC1,2023-06-01T01:30:00Z,17.1,0,0.999,85.06,0.999,85.04,0,17.1,17.1,71,2.23,4.3,4,0.69,0,15,15,598,0
TV3,MC1,2023-06-01T01:45:00Z,17,0,1,85.03,1,85.01,0,17,16.9,25,1.71,4.3,4.1,0.53,0,15,15,605,0
