Tree,MC,Timestamp,Port5_RH,Port5_VPD,Port5_Atmos_pressure,Port5_Temp,Port2_Atmos_pressure,Port2_VPD,Port2_Temp,Port2_RH,Port1_Solar,Port3_LW_minutes,Port3_LWS_Count,Port3_LW_minutes_H,Port4_Solar,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
TV4,MC2,2023-05-31T18:45:00Z,1.001,0,85.08,16.7,85.09,0.04,16.6,0.98,0,15,452,0,0,0,15,452
TV4,MC2,2023-05-31T19:00:00Z,0.999,0,85.1,16.7,85.11,0.04,16.6,0.981,0,15,452,0,0,0,15,452
TV4,MC2,2023-05-31T19:15:00Z,1.001,0,85.12,16.6,85.14,0.04,16.6,0.981,0,15,452,0,0,0,15,452
TV4,MC2,2023-05-31T19:30:00Z,1,0,85.14,16.7,85.15,0.03,16.7,0.982,0,15,452,0,0,0,15,452
TV4,MC2,2023-05-31T19:45:00Z,1,0,85.15,16.6,85.17,0.04,16.7,0.981,0,15,452,0,0,0,15,452
TV4,MC2,2023-05-31T20:00:00Z,0.999,0,85.17,16.6,85.18,0.05,16.6,0.974,0,15,451,0,0,0,15,451
TV4,MC2,2023-05-31T20:15:00Z,1,0,85.18,16.6,85.2,0.08,16.7,0.955,0,15,451,0,0,0,15,451
TV4,MC2,2023-05-31T20:30:00Z,0.994,0.01,85.18,16.7,85.21,0.1,16.8,0.949,0,15,451,0,0,0,15,451
TV4,MC2,2023-05-31T20:45:00Z,0.989,0.02,85.19,16.9,85.22,0.1,16.9,0.948,0,15,515,2,0,2,15,491
TV4,MC2,2023-05-31T21:00:00Z,0.994,0.01,85.2,16.9,85.22,0.08,16.8,0.958,0,15,527,15,0,15,15,506
TV4,MC2,2023-05-31T21:15:00Z,1,0,85.21,16.8,85.23,0.06,16.8,0.971,0,15,521,15,0,15,15,500
TV4,MC2,2023-05-31T21:30:00Z,1.001,0,85.22,16.8,85.23,0.04,16.8,0.978,0,15,518,15,0,15,15,495
TV4,MC2,2023-05-31T21:45:00Z,1,0,85.22,16.9,85.24,0.04,16.9,0.981,0,15,615,15,0,15,15,596
TV4,MC2,2023-05-31T22:00:00Z,1.001,0,85.23,16.9,85.24,0.03,16.8,0.983,0,15,690,15,0,15,15,653
