ZL.ID,MC.ID,Location,Port,Station,Instrument,Note
z6-16008,ET1_MC1,ET1,1,S4,PYR,
z6-16008,ET1_MC1,ET1,2,S4,A22,
z6-16008,ET1_MC1,ET1,3,S4,A14,
z6-16008,ET1_MC1,ET1,4,S4,LWS,
z6-16008,ET1_MC1,ET1,5,S1,A22,
z6-16008,ET1_MC1,ET1,6,NA,,
z6-15954,ET1_MC2,ET1,1,S1,PYR,
z6-15954,ET1_MC2,ET1,2,S2,PYR,
z6-15954,ET1_MC2,ET1,3,S1,A14,
z6-15954,ET1_MC2,ET1,4,S1,LWS,
z6-15954,ET1_MC2,ET1,5,S2,A14,
z6-15954,ET1_MC2,ET1,6,S2,LWS,
z6-16030,ET2_MC1,ET2,1,S4,PYR,
z6-16030,ET2_MC1,ET2,2,S1,PYR,
z6-16030,ET2_MC1,ET2,3,S4,A14,
z6-16030,ET2_MC1,ET2,4,S4,LWS,
z6-16030,ET2_MC1,ET2,5,S1,A14,
z6-16030,ET2_MC1,ET2,6,S1,LWS,
z6-16042,ET2_MC2,ET2,1,S2,PYR,
z6-16042,ET2_MC2,ET2,2,S2,A22,
z6-16042,ET2_MC2,ET2,3,S2,A14,
z6-16042,ET2_MC2,ET2,4,S2,LWS,
z6-16042,ET2_MC2,ET2,5,S4,A22,
z6-16042,ET2_MC2,ET2,6,NA,,
z6-16009,ET2_MC3,ET2,1,S3,PYR,
z6-16009,ET2_MC3,ET2,2,NA,,
z6-16009,ET2_MC3,ET2,3,S3,A14,
z6-16009,ET2_MC3,ET2,4,S3,LWS,
z6-16009,ET2_MC3,ET2,5,NA,,
z6-16009,ET2_MC3,ET2,6,NA,,
z6-15896,ET3_MC1,ET3,1,S1,PYR,
z6-15896,ET3_MC1,ET3,2,S1,A22,
z6-15896,ET3_MC1,ET3,3,S1,A14,
z6-15896,ET3_MC1,ET3,4,S1,LWS,
z6-15896,ET3_MC1,ET3,5,NA,,
z6-15896,ET3_MC1,ET3,6,NA,,
z6-15945,ET3_MC2,ET3,1,S2,PYR,
z6-15945,ET3_MC2,ET3,2,S4,PYR,
z6-15945,ET3_MC2,ET3,3,S2,A14,
z6-15945,ET3_MC2,ET3,4,S2,LWS,
z6-15945,ET3_MC2,ET3,5,S4,A14,
z6-15945,ET3_MC2,ET3,6,S4,LWS,
z6-16040,ET3_MC3,ET3,1,S3,PYR,
z6-16040,ET3_MC3,ET3,2,S4,A22,
z6-16040,ET3_MC3,ET3,3,S3,A14,
z6-16040,ET3_MC3,ET3,4,S3,LWS,
z6-16040,ET3_MC3,ET3,5,S5,A14,
z6-16040,ET3_MC3,ET3,6,S5,LWS,
z6-15972,ET4_MC1,ET4,1,S1,PYR,
z6-15972,ET4_MC1,ET4,2,NA,,
z6-15972,ET4_MC1,ET4,3,S1,A14,
z6-15972,ET4_MC1,ET4,4,S1,LWS,
z6-15972,ET4_MC1,ET4,5,S5,A14,
z6-15972,ET4_MC1,ET4,6,S5,LWS,
z6-15940,ET4_MC2,ET4,1,S2,PYR,
z6-15940,ET4_MC2,ET4,2,S2,A22,
z6-15940,ET4_MC2,ET4,3,S2,A14,
z6-15940,ET4_MC2,ET4,4,S2,LWS,
z6-15940,ET4_MC2,ET4,5,S4,A22,
z6-15940,ET4_MC2,ET4,6,NA,,
z6-15991,ET4_MC3,ET4,1,S4,PYR,
z6-15991,ET4_MC3,ET4,2,S4,A14,
z6-15991,ET4_MC3,ET4,3,S4,LWS,
z6-15991,ET4_MC3,ET4,4,S3,PYR,
z6-15991,ET4_MC3,ET4,5,S3,A14,
z6-15991,ET4_MC3,ET4,6,S3,LWS,
z6-16003,ET5_MC1,ET5,1,S4,PYR,
z6-16003,ET5_MC1,ET5,2,S1,PYR,
z6-16003,ET5_MC1,ET5,3,S4,A14,
z6-16003,ET5_MC1,ET5,4,S4,LWS,
z6-16003,ET5_MC1,ET5,5,S1,A14,
z6-16003,ET5_MC1,ET5,6,S1,LWS,
z6-15983,ET5_MC2,ET5,1,S2,PYR,
z6-15983,ET5_MC2,ET5,2,S2,A22,
z6-15983,ET5_MC2,ET5,3,S2,A14,
z6-15983,ET5_MC2,ET5,4,S2,LWS,
z6-15983,ET5_MC2,ET5,5,NA,,
z6-15983,ET5_MC2,ET5,6,NA,,
z6-15986,ET5_MC3,ET5,1,S3,PYR,
z6-15986,ET5_MC3,ET5,2,S4,A22,
z6-15986,ET5_MC3,ET5,3,S3,A14,
z6-15986,ET5_MC3,ET5,4,S3,LWS,
z6-15986,ET5_MC3,ET5,5,S2,A22,
z6-15986,ET5_MC3,ET5,6,NA,,
z6-15982,ET6_MC1,ET6,1,S1,PYR,
z6-15982,ET6_MC1,ET6,2,S4,PYR,
z6-15982,ET6_MC1,ET6,3,S1,A14,
z6-15982,ET6_MC1,ET6,4,S1,LWS,
z6-15982,ET6_MC1,ET6,5,S4,A14,
z6-15982,ET6_MC1,ET6,6,S4,LWS,
z6-15957,ET6_MC2,ET6,1,S2,PYR,
z6-15957,ET6_MC2,ET6,2,S4,A22,
z6-15957,ET6_MC2,ET6,3,S2,A14,
z6-15957,ET6_MC2,ET6,4,S2,LWS,
z6-15957,ET6_MC2,ET6,5,NA,,
z6-15957,ET6_MC2,ET6,6,NA,,
z6-15949,ET6_MC3,ET6,1,S3,PYR,
z6-15949,ET6_MC3,ET6,2,S3,A22,
z6-15949,ET6_MC3,ET6,3,S3,A14,
z6-15949,ET6_MC3,ET6,4,S3,LWS,
z6-15949,ET6_MC3,ET6,5,NA,,
z6-15949,ET6_MC3,ET6,6,S4,A22,
z6-15943,ET7_MC1,ET7,1,S1,PYR,
z6-15943,ET7_MC1,ET7,2,S4,PYR,
z6-15943,ET7_MC1,ET7,3,S1,A14,
z6-15943,ET7_MC1,ET7,4,S1,LWS,
z6-15943,ET7_MC1,ET7,5,S4,A14,
z6-15943,ET7_MC1,ET7,6,S4,LWS,
z6-15836,ET7_MC2,ET7,1,S2,PYR,
z6-15836,ET7_MC2,ET7,2,NA,,
z6-15836,ET7_MC2,ET7,3,S2,A14,
z6-15836,ET7_MC2,ET7,4,S2,LWS,
z6-15836,ET7_MC2,ET7,5,S5,A14,
z6-15836,ET7_MC2,ET7,6,S5,LWS,
z6-16029,ET7_MC3,ET7,1,S3,PYR,
z6-16029,ET7_MC3,ET7,2,S3,A22,
z6-16029,ET7_MC3,ET7,3,S3,A14,
z6-16029,ET7_MC3,ET7,4,S3,LWS,
z6-16029,ET7_MC3,ET7,5,S4,A22,
z6-16029,ET7_MC3,ET7,6,NA,,
z6-15978,ET8_MC1,ET8,1,S1,PYR,
z6-15978,ET8_MC1,ET8,2,S1,A22,
z6-15978,ET8_MC1,ET8,3,S1,A14,
