ZL.ID,MC.ID,Zentracloud,Last.import
z6-16030,ET2_MC1,Yes,2024-01-25T09:45:00Z
z6-16042,ET2_MC2,Yes,2024-01-31T09:00:00Z
z6-16009,ET2_MC3,Yes,2024-01-11T09:45:00Z
z6-15896,ET3_MC1,Yes,2024-01-31T23:15:00Z
z6-15945,ET3_MC2,Yes,2024-01-31T23:15:00Z
z6-16040,ET3_MC3,Yes,2024-01-31T23:15:00Z
z6-15972,ET4_MC1,Yes,2024-01-31T23:15:00Z
z6-15940,ET4_MC2,Yes,2024-01-31T23:15:00Z
z6-15991,ET4_MC3,Yes,2024-01-31T23:15:00Z
z6-16003,ET5_MC1,Yes,2024-01-16T20:45:00Z
z6-15983,ET5_MC2,Yes,2023-12-21T09:15:00Z
z6-15986,ET5_MC3,Yes,2024-01-31T09:15:00Z
z6-15943,ET7_MC1,Yes,2024-01-18T11:30:00Z
z6-15836,ET7_MC2,Yes,2024-01-31T06:15:00Z
z6-16029,ET7_MC3,Yes,2024-01-31T23:15:00Z
z6-15978,ET8_MC1,Yes,2024-01-25T10:30:00Z
z6-15946,ET8_MC2,Yes,2024-01-25T10:45:00Z
z6-15994,ET8_MC3,Yes,2024-01-30T23:00:00Z
z6-15848,FB1_MC1,Yes,2024-01-31T23:15:00Z
z6-15908,FB1_MC2,Yes,2023-12-31T23:15:00Z
z6-16031,FB1_MC3,Yes,2024-01-31T23:15:00Z
z6-15985,FB2_MC1,Yes,2024-01-31T23:15:00Z
z6-15947,FB2_MC2,Yes,2024-01-31T23:15:00Z
z6-15993,FB2_MC3,Yes,2024-01-31T23:15:00Z
z6-16027,FB3_MC1,Yes,2024-01-31T23:15:00Z
z6-15951,FB3_MC2,Yes,2023-12-31T23:15:00Z
z6-15975,FB3_MC3,Yes,2024-01-31T23:15:00Z
z6-15944,FB4_MC1,Yes,2024-01-06T21:45:00Z
z6-15916,FB4_MC2,Yes,2024-01-31T23:15:00Z
z6-15973,FB4_MC3,Yes,2024-01-31T23:15:00Z
z6-16028,FB5_MC1,Yes,2024-01-31T23:15:00Z
z6-16011,FB5_MC2,Yes,2024-01-31T23:15:00Z
z6-15936,FB5_MC3,Yes,2024-01-25T11:30:00Z
z6-15992,FB6_MC1,Yes,2024-01-23T10:15:00Z
z6-15907,FB6_MC2,Yes,2024-01-31T23:15:00Z
z6-16012,FB6_MC3,Yes,2024-01-10T11:00:00Z
z6-15995,FB7_MC1,Yes,2024-01-24T00:00:00Z
z6-15989,FB7_MC2,Yes,2024-01-24T10:45:00Z
z6-15988,FB7_MC3,Yes,2024-01-23T12:00:00Z
z6-15932,FB8_MC1,Yes,2024-01-24T09:45:00Z
z6-16006,FB8_MC2,Yes,2024-01-31T17:00:00Z
z6-15984,FB8_MC3,Yes,2024-01-19T11:15:00Z
z6-15937,TV1_MC1,Yes,2024-01-19T01:45:00Z
z6-16004,TV1_MC2,Yes,2024-01-31T23:15:00Z
z6-15990,TV1_MC3,Yes,2024-01-31T23:15:00Z
z6-15955,TV2_MC1,Yes,2024-01-31T23:15:00Z
z6-15987,TV2_MC2,Yes,2024-01-31T23:15:00Z
z6-15980,TV2_MC3,Yes,2024-01-31T23:15:00Z
z6-15974,TV3_MC1,Yes,2024-01-31T23:15:00Z
z6-16002,TV3_MC2,Yes,2024-01-31T23:15:00Z
z6-16001,TV3_MC3,Yes,2024-01-29T09:30:00Z
z6-15877,TV4_MC1,Yes,2024-01-31T23:15:00Z
z6-16010,TV4_MC2,Yes,2024-01-31T23:15:00Z
z6-15958,TV4_MC3,Yes,2024-01-31T23:15:00Z
