Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_RH,Port5_Temp,Port5_VPD,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H,Port6_LWS_Count
TV1,MC1,2023-05-31T18:45:00Z,85.51,0.996,17,0.01,85.57,0.999,0,17.1,0,15,15,461,15,0,458
TV1,MC1,2023-05-31T19:00:00Z,85.53,0.998,16.9,0,85.59,1,0,17.1,0,15,15,461,15,0,458
TV1,MC1,2023-05-31T19:15:00Z,85.55,0.999,16.9,0,85.61,1,0,17.1,0,15,15,461,15,0,458
TV1,MC1,2023-05-31T19:30:00Z,85.57,1,17,0,85.63,1.001,0,17.1,0,15,15,461,15,0,458
TV1,MC1,2023-05-31T19:45:00Z,85.58,0.998,16.9,0,85.64,0.999,0,17.1,0,14,15,460,15,0,458
TV1,MC1,2023-05-31T20:00:00Z,85.6,0.989,16.9,0.02,85.66,0.994,0.01,17,0,0,15,459,15,0,457
TV1,MC1,2023-05-31T20:15:00Z,85.61,0.968,17.1,0.06,85.67,0.979,0.04,17.1,0,0,15,458,15,0,456
TV1,MC1,2023-05-31T20:30:00Z,85.62,0.954,17.3,0.09,85.68,0.967,0.06,17.3,0,0,15,458,15,0,456
TV1,MC1,2023-05-31T20:45:00Z,85.63,0.955,17.4,0.09,85.69,0.965,0.07,17.4,0,5,15,594,15,11,685
TV1,MC1,2023-05-31T21:00:00Z,85.63,0.968,17.3,0.06,85.7,0.976,0.05,17.4,0,15,15,610,15,15,547
TV1,MC1,2023-05-31T21:15:00Z,85.64,0.983,17.1,0.03,85.7,0.99,0.02,17.3,0,15,15,600,15,15,531
TV1,MC1,2023-05-31T21:30:00Z,85.64,0.989,17.2,0.02,85.71,0.995,0.01,17.3,0,15,15,593,15,15,546
TV1,MC1,2023-05-31T21:45:00Z,85.65,0.995,17.2,0.01,85.71,0.999,0,17.4,0,15,15,628,15,15,688
TV1,MC1,2023-05-31T22:00:00Z,85.65,0.996,17.2,0.01,85.72,1,0,17.3,0,15,15,643,15,15,792
TV1,MC1,2023-05-31T22:15:00Z,85.65,0.999,17.2,0,85.71,1,0,17.3,0,15,15,586,15,15,590
TV1,MC1,2023-05-31T22:30:00Z,85.66,1,17.3,0,85.72,1,0,17.4,0,15,15,736,15,15,881
TV1,MC1,2023-05-31T22:45:00Z,85.66,1,17.3,0,85.72,1,0,17.4,0,15,15,727,15,15,894
TV1,MC1,2023-05-31T23:00:00Z,85.64,0.999,17.3,0,85.7,1,0,17.4,0,15,15,709,15,15,838
TV1,MC1,2023-05-31T23:15:00Z,85.64,1,17.4,0,85.7,1.001,0,17.5,0,15,15,843,15,15,991
TV1,MC1,2023-05-31T23:30:00Z,85.63,0.999,17.5,0,85.69,1,0,17.6,0,15,15,719,15,15,917
TV1,MC1,2023-05-31T23:45:00Z,85.62,1.001,17.5,0,85.68,1.001,0,17.5,0,15,15,681,15,15,728
TV1,MC1,2023-06-01T00:00:00Z,85.62,1,17.5,0,85.68,1,0,17.5,0,15,15,648,15,15,575
TV1,MC1,2023-06-01T00:15:00Z,85.6,1.001,17.5,0,85.66,1,0,17.6,0,15,15,641,15,15,568
TV1,MC1,2023-06-01T00:30:00Z,85.58,1,17.5,0,85.64,1,0,17.6,0,15,15,613,15,15,562
TV1,MC1,2023-06-01T00:45:00Z,85.56,1,17.4,0,85.62,1,0,17.5,0,15,15,626,15,15,566
TV1,MC1,2023-06-01T01:00:00Z,85.55,0.999,17.5,0,85.61,1,0,17.5,0,15,15,605,15,15,647
TV1,MC1,2023-06-01T01:15:00Z,85.52,0.999,17.4,0,85.58,0.999,0,17.4,0,15,15,601,15,15,553
TV1,MC1,2023-06-01T01:30:00Z,85.49,1,17.3,0,85.55,1,0,17.4,0,15,15,596,15,15,551
TV1,MC1,2023-06-01T01:45:00Z,85.47,1,17.2,0,85.53,1,0,17.2,0,15,15,595,15,15,536
